Tree No,Soil K,Leaf K,Soil P,Leaf P,Soil N,Leaf N
1890,0.077531,0.504668305,0.07876,,0.0253,1.5243
1895,0.059152,0.56013196,0.25345,0.15,0.0206,0.962
1917,0.108023,0.489718615,0.17948,0.21,0.0124,1.2025
1982,0.065954,0.517988253,0.46447,0.25,0.0171,1.1544
1995,0.053443,0.496502303,0.1311,0.23,0.0135,1.443
2019,0.063017,0.533390411,0.1889,,0.03,0.6734
2027,0.065509,0.517761557,0.23617,0.64,0.0065,1.7625
2032,0.05992,0.49883775,0.16645,0.25,0.0182,1.5243
2040,0.069393,0.490527332,0.27807,0.54,0.0218,0.7696
2051,0.051778,0.524988378,0.14401,0.2,0.0053,1.5392
2065,0.067998,0.452583277,0.15454,0.63,0.033,1.5392
2065,0.088455,0.527720739,0.1462,0.93,0.0041,0.7215
2066,0.039291,0.518061576,0.08432,0.93,0.0512,0.7696
2074,0.047953,0.514949732,0.058995,0.87,0.0324,0.6734
2085,0.107822,0.493456925,0.11323,0.5,0.0253,0.962
2087,0.040747,0.49510665,0.066245,0.25,0.0206,1.4767
2088,0.160405,0.524220624,0.40895,0.52,0.0171,0.8658
2102,0.063124,0.512116317,0.44987,0.22,0.0418,1.6672
2110,0.110411,0.505035618,0.16078,0.26,0.0229,1.0582
2111,0.108759,0.510967444,0.167735,0.35,0.0206,0.8658
2129,0.044382,0.513471626,0.05831,,0.0135,1.6672
2146,0.080656,0.51542777,0.102395,,0.0241,1.3949
2197,0.14941,0.429243851,0.14787,0.76,0.0065,1.8101
2198,0.09208,0.497538159,0.46715,0.27,0.0147,2.4293
2277,0.070885,0.549345257,0.33904,,0.0524,1.3468
2279,0.126622,0.513974592,0.20697,0.86,0.0218,1.6672
2318,0.088901,0.528289616,0.14322,0.27,0.0088,1.2861
2394,0.147673,0.524063009,0.16824,,0.01,1.1544
2573,0.051129,0.506617172,0.08392,0.18,0.0129,1.0582
2611,0.130638,0.489700834,0.08542,0.46,0.0194,2.0483
2651,0.045971,0.501970256,0.43875,0.85,0.0112,1.9054
2663,0.047435,0.442025665,0.23974,0.85,0.0241,0.8658
2678,0.076221,0.51094652,0.1601,0.93,0.0229,1.8101
2792,0.065987,0.496964587,0.14974,,0.0182,1.7148
2799,0.049854,0.428487114,0.14222,0.97,0.0076,0.7696
2818,0.079681,0.449665346,0.06814,0.25,0.0282,1.2025
